foodid,annotated_food_name,dietary_supplement_cat,dietary_supplement_subcat,breakfast_cereal_cat,breakfast_cereal_subcat,side_dish_cat,side_dish_subcat,condiment_cat,condiment_subcat,beverage_cat,beverage_subcat,snack_cat,snack_subcat,dessert_cat,dessert_subcat,fast_food_brand_cat,fast_food_brand_subcat,snack_brand_cat,snack_brand_subcat,herb_spice_cat,herb_spice_subcat,staple_cat,staple_subcat,meat_cat,meat_subcat,egg_dairy_cat,egg_dairy_subcat,vegetable_cat,vegetable_subcat,mushroom_cat,mushroom_subcat,fruit_cat,fruit_subcat,nut_seed_cat,nut_seed_subcat,bean_legume_cat,bean_legume_subcat,preparation_cat,preparation_subcat,volume_q,volume_unit,mass_q,mass_unit,length_q,length_unit,serving_q,serving_unit,calories,fat,carbs,sodium,potassium,fiber,sugar,protein,calcium,iron
1853,"{""snack_brand__snack_brand__doritos"": 1, ""condiment__condiment"": 1, ""snack_brand"": 1, ""snack_brand__snack_brand"": 1, ""condiment__condiment__ranch"": 1, ""condiment"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,snack_brand,snack_brand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.60,gram,-,-,1.00,package,260,13,31,320,-,-,2,3,-,-
1854,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__cookie"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""snack_brand"": 1, ""snack_brand__snack_brand"": 1, ""snack_brand__snack_brand__chip_ahoy"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,dessert,confectionery,-,-,snack_brand,snack_brand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.00,cookie,160,8,20,110,-,-,12,0,-,-
1855,"{""preparation__dry"": 1, ""preparation__dry__baked"": 1, ""dessert"": 1, ""dessert__cake__brownie"": 1, ""preparation"": 1, ""dessert__cake"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,cake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,56.70,gram,-,-,-,-,340,8,35,84,-,-,21,3,-,-
1856,"{""preparation__dry"": 1, ""condiment__condiment"": 1, ""preparation"": 1, ""condiment__condiment__hummus"": 1, ""preparation__dry__roasted"": 1, ""condiment"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,29.57,milliliter,-,-,-,-,-,-,80,6,5,130,-,-,0,2,-,-
1857,"{""preparation__dry"": 1, ""preparation__dry__smoked"": 1, ""meat"": 1, ""condiment__condiment"": 1, ""preparation"": 1, ""meat__poultry__turkey"": 1, ""condiment__condiment__honey"": 1, ""condiment"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,56.70,gram,-,-,-,-,60,1,1,420,-,-,0,12,-,-
1858,"{""preparation__dry"": 1, ""preparation__dry__baked"": 1, ""snack_brand"": 1, ""snack_brand__snack_brand"": 1, ""preparation"": 1, ""snack_brand__snack_brand__lay"": 1, ""fast_food_brand"": 1, ""fast_food_brand__fast_food__subway"": 1, ""fast_food_brand__fast_food"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,snack_brand,snack_brand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,31.80,gram,-,-,1.00,bag,140,4,24,220,-,-,4,2,-,-
1859,"{""dessert__confectionery"": 1, ""dessert"": 1, ""dessert__confectionery__caramel"": 1, ""dessert__cookies"": 1, ""dessert__cookies__cooky"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,cookies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,7,19,85,-,-,13,1,-,-
1860,"{""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""fast_food_brand__fast_food__starbucks"": 1, ""fast_food_brand"": 1, ""dessert__confectionery"": 1, ""fast_food_brand__fast_food"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,fast_food_brand,fast_food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.00,gram,-,-,-,-,120,3,22,0,-,-,17,2,-,-
1861,"{""preparation__dry"": 1, ""side_dish__salad__salad"": 1, ""preparation"": 1, ""side_dish"": 1, ""side_dish__salad"": 1, ""preparation__dry__grilled"": 1}",-,-,-,-,side_dish,salad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,-,-,-,-,-,-,200,5,17,570,-,-,8,23,-,-
1862,"{""condiment__condiment__honey"": 1, ""condiment"": 1, ""condiment__condiment__sauce"": 1, ""condiment__condiment"": 1, ""condiment__condiment__mustard"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.07,gram,-,-,1.00,packet,45,0,11,150,-,-,10,0,-,-
1863,"{""meat"": 1, ""meat__fish"": 1, ""staple__rice__sushi"": 1, ""vegetable__fruits__avocado"": 1, ""staple__rice"": 1, ""meat__fish__salmon"": 1, ""vegetable"": 1, ""staple"": 1, ""vegetable__fruits"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,rice,meat,fish,-,-,vegetable,fruits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.70,roll,213,6,29,0,-,-,0,9,-,-
1864,"{""egg_dairy"": 1, ""snack_brand"": 1, ""egg_dairy__dairy_product__cheddar"": 1, ""snack_brand__snack_brand"": 1, ""snack_brand__snack_brand__lay"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,snack_brand,snack_brand,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50,serving,210,23,44,480,-,-,3,6,-,-
1865,"{""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""snack_brand"": 1, ""snack_brand__snack_brand"": 1, ""snack_brand__snack_brand__kit_kat"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,snack_brand,snack_brand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.00,piece,110,2,5,0,-,-,3,0,-,-
1866,"{""meat__shellfish__shrimp"": 1, ""staple__rice__pad_thai"": 1, ""staple__rice"": 1, ""meat__shellfish"": 1, ""staple"": 1, ""meat"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,rice,meat,shellfish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.75,plate,803,20,114,2880,-,-,0,29,-,-
1867,"{""staple__wheat"": 1, ""meat"": 1, ""meat__poultry"": 1, ""staple__wheat__biscuit"": 1, ""staple"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,biscuit,440,20,48,1210,-,-,6,16,-,-
1868,"{""condiment"": 1, ""condiment__condiment"": 1, ""condiment__condiment__teriyaki_sauce"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,295.74,milliliter,-,-,-,-,0.10,container,30,0,6,640,-,-,6,2,-,-
1869,"{""vegetable"": 1, ""vegetable__podded_vegetables__snow_pea"": 1, ""vegetable__podded_vegetables"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,podded_vegetables,-,-,-,-,-,-,-,-,-,-,-,-,28.35,gram,-,-,-,-,12,0,2,1,-,-,0,1,-,-
1870,"{""mushroom__mushroom__baby_bella_mushroom"": 1, ""mushroom__mushroom"": 1, ""mushroom"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mushroom,mushroom,-,-,-,-,-,-,-,-,-,-,21.26,gram,-,-,-,-,5,0,1,4,-,-,0,1,-,-
1871,"{""dessert__confectionery"": 1, ""dessert"": 1, ""dessert__confectionery__candy"": 1, ""dessert__confectionery__mini_egg"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.00,piece,210,10,28,25,-,-,27,3,-,-
1872,"{""condiment"": 1, ""condiment__condiment"": 1, ""condiment__condiment__curry_paste"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.50,milliliter,7.00,gram,-,-,0.10,container,6,0,1,238,-,-,0,0,-,-
1873,"{""preparation__mechanical"": 1, ""preparation"": 1, ""vegetable"": 1, ""vegetable__root_tuberous_vegetables"": 1, ""vegetable__root_tuberous_vegetables__radish"": 1, ""preparation__mechanical__sliced"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,root_tuberous_vegetables,-,-,-,-,-,-,-,-,preparation,mechanical,118.29,milliliter,-,-,-,-,-,-,15,0,4,0,-,-,2,1,-,-
1874,"{""beverage"": 1, ""beverage__soft_drink__pepsi"": 1, ""beverage__soft_drink"": 1}",-,-,-,-,-,-,-,-,beverage,soft_drink,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212.62,gram,-,-,-,-,100,0,26,20,-,-,26,0,-,-
1875,"{""beverage__lemon_beverage__lemonade"": 1, ""beverage"": 1, ""beverage__soft_drink"": 1, ""beverage__lemon_beverage"": 1, ""beverage__soft_drink__minute_maid"": 1}",-,-,-,-,-,-,-,-,beverage,soft_drink,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,100,0,27,15,-,-,28,0,-,-
1876,"{""beverage"": 1, ""beverage__alcohol"": 1, ""beverage__alcohol__blue_moon"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,272.16,gram,-,-,-,-,131,0,11,14,-,-,0,2,-,-
1877,"{""breakfast_cereal__breakfast_cereal__oatmeal"": 1, ""staple__wheat"": 1, ""breakfast_cereal"": 1, ""breakfast_cereal__breakfast_cereal"": 1, ""staple__wheat__bread"": 1, ""staple"": 1}",-,-,breakfast_cereal,breakfast_cereal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.00,slice,140,2,24,170,-,-,2,4,-,-
1878,"{""herb_spice"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert__cake__cupcake"": 1, ""dessert"": 1, ""dessert__cake"": 1, ""dessert__confectionery"": 1, ""herb_spice__spices"": 1, ""herb_spice__spices__vanilla"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,herb_spice,spices,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,cupcake,230,8,17,3,-,-,12,0,-,-
1879,"{""nut_seed__nut"": 1, ""dessert__confectionery__chocolate"": 1, ""nut_seed__nut__hazelnut"": 1, ""dessert"": 1, ""nut_seed"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nut_seed,nut,-,-,-,-,22.18,milliliter,-,-,-,-,-,-,120,7,15,8,-,-,14,1,-,-
1880,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__carrot_chip"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.00,gram,-,-,-,-,35,0,8,65,-,-,5,1,-,-
1881,"{""nut_seed__nut"": 1, ""dessert"": 1, ""nut_seed"": 1, ""dessert__confectionery"": 1, ""nut_seed__nut__nut"": 1, ""dessert__confectionery__milk_chocolate"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nut_seed,nut,-,-,-,-,-,-,-,-,-,-,0.50,container,238,13,29,38,-,-,26,4,-,-
1882,"{""meat__shellfish__shrimp"": 1, ""staple__rice__rice"": 1, ""staple__rice"": 1, ""meat__shellfish"": 1, ""staple"": 1, ""meat"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,rice,meat,shellfish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374.99,milliliter,-,-,-,-,-,-,790,24,62,1310,-,-,0,45,-,-
1883,"{""vegetable__leafy_salad"": 1, ""vegetable"": 1, ""vegetable__vegetables"": 1, ""vegetable__vegetables__vegetable"": 1, ""vegetable__leafy_salad__lettuce"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,leafy_salad,-,-,-,-,-,-,-,-,-,-,-,-,53.13,gram,-,-,-,-,4,0,1,1,-,-,0,0,-,-
1884,"{""egg_dairy"": 1, ""preparation__mechanical"": 1, ""herb_spice__peppers"": 1, ""egg_dairy__dairy_product__cheese"": 1, ""preparation"": 1, ""herb_spice__peppers__pepper"": 1, ""herb_spice"": 1, ""egg_dairy__dairy_product"": 1, ""preparation__mechanical__sliced"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,peppers,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,preparation,mechanical,-,-,-,-,-,-,1.98,slice,79,7,1,139,-,-,0,5,-,-
1885,"{""egg_dairy"": 1, ""preparation__mechanical__cut"": 1, ""preparation__mechanical"": 1, ""staple__other_cereal"": 1, ""preparation"": 1, ""fruit"": 1, ""fruit__berry"": 1, ""fruit__berry__blueberry"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""staple__other_cereal__oat"": 1, ""staple"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,other_cereal,-,-,egg_dairy,dairy_product,-,-,-,-,fruit,berry,-,-,-,-,preparation,mechanical,-,-,150.25,gram,-,-,1.00,container,170,2,28,55,-,-,16,10,-,-
1886,"{""nut_seed__nut__nut"": 1, ""herb_spice__spices__spice"": 1, ""nut_seed__nut"": 1, ""nut_seed"": 1, ""nut_seed__nut__almond"": 1, ""herb_spice"": 1, ""herb_spice__spices"": 1, ""herb_spice__spices__vanilla"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,spices,-,-,-,-,-,-,-,-,-,-,-,-,nut_seed,nut,-,-,-,-,-,-,-,-,-,-,1.00,bar,210,16,14,15,-,-,4,7,-,-
1887,"{""meat__meatball__meatball"": 1, ""meat__poultry__chicken"": 1, ""meat"": 1, ""meat__meatball"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,13,8,1250,-,-,7,15,-,-
1888,"{""beverage__alcohol__tequila"": 1, ""beverage"": 1, ""beverage__alcohol"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.70,gram,-,-,-,-,140,0,0,0,-,-,0,0,-,-
1889,"{""meat"": 1, ""meat__shellfish"": 1, ""meat__shellfish__clam"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,shellfish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,150,4,21,740,-,-,11,6,-,-
1890,"{""meat__beef__beef"": 1, ""meat__sausage"": 1, ""meat"": 1, ""meat__sausage__hot_dog"": 1, ""meat__beef"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,beef,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,14,1,460,-,-,0,6,-,-
1891,"{""preparation__dry"": 1, ""preparation"": 1, ""vegetable__root_tuberous_vegetables__carrot"": 1, ""preparation__dry__roasted"": 1, ""vegetable"": 1, ""vegetable__root_tuberous_vegetables"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,root_tuberous_vegetables,-,-,-,-,-,-,-,-,preparation,dry,59.15,milliliter,-,-,-,-,-,-,14,0,3,23,-,-,2,1,-,-
1892,"{""staple__wheat"": 1, ""meat"": 1, ""staple__wheat__bread"": 1, ""meat__poultry"": 1, ""staple"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.29,milliliter,-,-,-,-,-,-,175,7,5,140,-,-,2,15,-,-
1893,"{""preparation__dry"": 1, ""vegetable__fruits__eggplant"": 1, ""preparation"": 1, ""preparation__dry__roasted"": 1, ""vegetable"": 1, ""vegetable__fruits"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,fruits,-,-,-,-,-,-,-,-,preparation,dry,236.59,milliliter,-,-,-,-,-,-,20,0,5,0,-,-,2,1,-,-
1894,"{""dessert__ice_cream"": 1, ""dessert"": 1, ""fruit__berry__strawberry"": 1, ""fruit"": 1, ""dessert__ice_cream__ice_cream"": 1, ""fruit__berry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,ice_cream,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,59.15,milliliter,-,-,-,-,-,-,65,3,8,23,-,-,6,1,-,-
1895,"{""dessert__confectionery__chocolate"": 1, ""condiment__condiment"": 1, ""condiment__condiment__salt"": 1, ""dessert"": 1, ""dessert__confectionery"": 1, ""condiment"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,square,48,3,6,13,-,-,5,1,-,-
1896,"{""preparation__dry"": 1, ""side_dish__soup"": 1, ""preparation"": 1, ""side_dish"": 1, ""vegetable__fruits__squash"": 1, ""preparation__dry__roasted"": 1, ""vegetable"": 1, ""side_dish__soup__soup"": 1, ""vegetable__fruits"": 1}",-,-,-,-,side_dish,soup,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,fruits,-,-,-,-,-,-,-,-,preparation,dry,94.64,milliliter,-,-,-,-,-,-,36,1,6,84,-,-,2,1,-,-
1897,"{""preparation__dry"": 1, ""fruit__temperate"": 1, ""preparation__dry__smoked"": 1, ""meat"": 1, ""fruit__temperate__apple"": 1, ""meat__pork__bacon"": 1, ""fruit"": 1, ""preparation"": 1, ""meat__pork"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,pork,-,-,-,-,-,-,fruit,temperate,-,-,-,-,preparation,dry,-,-,-,-,-,-,2.00,slice,67,5,0,313,-,-,0,5,-,-
1898,"{""preparation__dry"": 1, ""preparation__dry__broiled"": 1, ""meat"": 1, ""meat__fish"": 1, ""preparation"": 1, ""meat__fish__salmon"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,fish,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,119.07,gram,-,-,-,-,288,18,7,681,-,-,0,24,-,-
1899,"{""meat__beef__beef"": 1, ""staple__wheat"": 1, ""meat"": 1, ""meat__beef"": 1, ""staple__wheat__noodle"": 1, ""staple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,meat,beef,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,container,290,12,39,1170,-,-,2,7,-,-
1900,"{""condiment__condiment__peanut_butter"": 1, ""breakfast_cereal"": 1, ""dessert__confectionery__chocolate"": 1, ""condiment"": 1, ""breakfast_cereal__breakfast_cereal"": 1, ""dessert"": 1, ""dessert__confectionery"": 1, ""condiment__condiment"": 1, ""breakfast_cereal__breakfast_cereal__granola"": 1}",-,-,breakfast_cereal,breakfast_cereal,-,-,condiment,condiment,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.00,gram,-,-,1.00,pouch,90,5,11,70,-,-,6,1,-,-
1901,"{""egg_dairy"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""egg_dairy__dairy_product"": 1, ""egg_dairy__dairy_product__milk"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,147.87,milliliter,-,-,-,-,-,-,37,2,3,28,-,-,3,2,-,-
1902,"{""meat__beef__beef"": 1, ""staple__wheat"": 1, ""condiment__condiment__sauce"": 1, ""condiment__condiment"": 1, ""staple__wheat__spaghetti"": 1, ""meat__beef"": 1, ""condiment"": 1, ""staple"": 1, ""meat"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,meat,beef,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.29,milliliter,-,-,-,-,-,-,137,8,7,275,-,-,4,10,-,-
1903,"{""egg_dairy"": 1, ""egg_dairy__dairy_product__cream"": 1, ""egg_dairy__dairy_product__cheese"": 1, ""vegetable__vegetables"": 1, ""vegetable"": 1, ""vegetable__vegetables__veggie"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,vegetable,vegetables,-,-,-,-,-,-,-,-,-,-,-,-,56.70,gram,-,-,-,-,173,15,7,187,-,-,3,4,-,-
1904,"{""staple__wheat__brioche"": 1, ""staple__wheat"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""dessert__confectionery"": 1, ""staple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,staple,wheat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.75,gram,-,-,-,-,34,1,5,50,-,-,2,1,-,-
1905,"{""snack__snack"": 1, ""snack__snack__potato_chip"": 1, ""snack_brand"": 1, ""snack_brand__snack_brand"": 1, ""snack"": 1, ""snack_brand__snack_brand__utz"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,-,-,-,-,snack_brand,snack_brand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.05,gram,-,-,-,-,450,27,45,330,-,-,3,6,-,-
1906,"{""nut_seed__nut"": 1, ""nut_seed"": 1, ""nut_seed__nut__almond"": 1, ""staple__wheat"": 1, ""staple__wheat__croissant"": 1, ""staple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,-,-,-,-,-,-,-,-,-,-,nut_seed,nut,-,-,-,-,-,-,-,-,-,-,1.00,croissant,340,21,34,220,-,-,11,6,-,-
1907,"{""snack_brand"": 1, ""condiment__condiment__peanut_butter"": 1, ""condiment__condiment"": 1, ""snack_brand__snack_brand__reeses"": 1, ""snack_brand__snack_brand"": 1, ""condiment"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,snack_brand,snack_brand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.00,gram,-,-,1.25,piece,55,3,7,33,-,-,6,1,-,-
1908,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__donut"": 1, ""dessert__cake__cake"": 1, ""dessert__cake"": 1, ""fruit"": 1, ""fruit__berry"": 1, ""fruit__berry__blueberry"": 1, ""dessert"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,dessert,cake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,-,-,-,-,-,-,0.75,donut,255,13,33,428,-,-,16,3,-,-
1909,"{""vegetable__leafy_salad__arugula"": 1, ""side_dish__salad__salad"": 1, ""vegetable__leafy_salad"": 1, ""side_dish"": 1, ""side_dish__salad"": 1, ""vegetable"": 1}",-,-,-,-,side_dish,salad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,leafy_salad,-,-,-,-,-,-,-,-,-,-,473.18,milliliter,-,-,-,-,-,-,20,0,3,25,-,-,2,2,-,-
1910,"{""preparation__dry"": 1, ""condiment__condiment__olive_oil"": 1, ""vegetable__flowers_flower_buds__broccoli"": 1, ""condiment__condiment"": 1, ""vegetable__flowers_flower_buds"": 1, ""preparation"": 1, ""preparation__dry__roasted"": 1, ""vegetable"": 1, ""condiment"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,flowers_flower_buds,-,-,-,-,-,-,-,-,preparation,dry,236.59,milliliter,-,-,-,-,-,-,100,4,4,165,-,-,0,2,-,-
1911,"{""egg_dairy__egg"": 1, ""staple__wheat"": 1, ""meat"": 1, ""egg_dairy__egg__egg"": 1, ""meat__pork__bacon"": 1, ""staple__wheat__bread"": 1, ""egg_dairy__dairy_product__cheese"": 1, ""egg_dairy"": 1, ""meat__pork"": 1, ""staple__wheat__sandwich"": 1, ""staple"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,meat,pork,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,sandwich,325,27,24,840,-,-,3,24,-,-
1912,"{""meat__beef__beef"": 1, ""meat"": 1, ""preparation__mixed"": 1, ""meat__beef"": 1, ""preparation"": 1, ""preparation__mixed__braised"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,beef,-,-,-,-,-,-,-,-,-,-,-,-,preparation,mixed,-,-,170.10,gram,-,-,-,-,504,31,0,120,-,-,0,52,-,-
